Score	num moves	valid moves	location change	time taken
50	20	19	11	531.827739238739
0	6	6	4	158.58422350883484
25	12	12	6	317.4346616268158
0	5	5	4	131.6639220714569
15	20	20	11	530.5654144287109
0	16	16	8	424.92256689071655
15	20	20	16	528.2053751945496
-5	20	20	14	529.3640742301941
15	20	20	13	528.0280437469482
35	20	20	7	535.341295003891
10	20	20	5	485.87105917930603
39	20	20	12	5342.688147068024
-10	6	6	6	2135.776256799698
40	20	20	9	6304.792051076889
10	20	20	3	488.76788687705994
10	20	20	7	486.6751160621643
10	20	20	5	485.8222391605377
10	20	20	5	487.6226556301117
39	20	20	10	484.8511769771576
-10	5	5	5	120.40733671188354
10	20	20	3	487.47279953956604
10	20	20	3	490.7690544128418
10	20	20	6	485.25208854675293
10	20	20	11	485.84345149993896
10	20	20	7	486.9298975467682
10	20	20	5	484.2384397983551
5	20	20	13	480.6075658798218
-10	8	8	8	191.5205855369568
-10	6	6	6	143.93906092643738
10	20	20	4	483.90121126174927
39	20	20	11	484.5900158882141
10	20	20	4	486.4429256916046
-10	5	5	5	120.02990293502808
10	20	20	7	487.2604773044586
10	20	20	6	484.95880031585693
10	20	20	5	484.5507686138153
10	20	20	6	486.8108654022217
-10	5	5	5	119.91561985015869
10	20	20	5	484.09831643104553
10	20	20	7	485.8915271759033
10	20	20	5	485.3483819961548
25	20	20	8	486.6347963809967
10	20	20	11	484.57024478912354
10	20	20	6	485.1113271713257
-10	5	5	5	120.32164406776428
10	20	20	6	487.76051473617554
10	20	20	8	483.71849513053894
40	20	20	9	485.19970655441284
10	20	20	5	488.1297507286072
10	20	20	9	485.88236117362976
10	20	20	7	484.2652094364166
10	20	20	9	486.8369700908661
10	20	20	7	487.0491955280304
-10	7	7	7	168.1610062122345
