Score	num moves	valid moves	location change	time taken
25	11	11	6	717.7693626880646
40	20	20	9	1321.4499537944794
-5	19	19	10	1246.5785880088806
40	20	20	13	1318.6534521579742
15	20	20	10	1315.6443145275116
40	20	19	12	1320.3570699691772
0	10	10	7	656.5208487510681
0	10	10	4	660.9218211174011
15	20	20	10	1323.4420549869537
39	20	20	9	1327.5381021499634
0	8	8	5	530.5103805065155
25	13	13	6	865.0750901699066
35	20	20	5	1342.2160382270813
25	11	11	6	732.5628707408905
39	20	20	13	1342.522869348526
15	20	20	10	1340.3091924190521
35	20	20	7	1343.979440689087
0	6	6	5	398.39874958992004
0	5	5	4	332.28420186042786
40	20	20	8	1353.1771931648254
0	5	5	4	334.609224319458
39	20	20	9	1334.8993301391602
0	5	5	4	329.7476472854614
15	20	20	16	1330.7355906963348
50	20	19	11	1339.20076918602
0	6	6	4	396.1851680278778
15	20	20	15	1330.1685917377472
0	5	5	4	329.0516052246094
10	20	20	6	1335.4677245616913
50	20	19	13	1337.1845545768738
25	19	19	10	1266.8046715259552
25	19	19	6	1272.1648106575012
25	19	19	6	1267.4896671772003
0	7	7	4	462.7643241882324
0	5	5	4	329.56647753715515
0	6	6	5	395.3042047023773
15	20	20	10	1328.9357488155365
15	20	20	12	1331.081825017929
35	20	20	9	1335.6412134170532
0	10	10	7	660.6820545196533
39	20	20	10	1335.8469099998474
