Score	num moves	valid moves	location change	time taken
25	9	9	6	233.39850521087646
25	9	9	6	223.29643869400024
10	20	20	16	499.81840658187866
25	10	10	6	252.8070991039276
0	6	6	4	151.2076711654663
39	20	20	12	511.7578556537628
39	20	20	12	513.5573015213013
25	9	9	6	227.33823657035828
25	11	11	6	281.67018127441406
0	7	7	5	177.4466724395752
10	20	20	14	526.9354922771454
10	20	20	9	527.8104827404022
10	20	20	13	530.2118675708771
10	20	20	7	531.8781819343567
10	20	20	5	532.3176953792572
10	20	20	10	535.6843864917755
-10	6	6	5	156.17570042610168
10	20	20	4	535.2510585784912
10	20	20	8	530.6508104801178
10	20	20	6	530.4622039794922
10	20	20	7	505.3404996395111
-10	5	5	5	124.41462182998657
10	20	20	11	2412.362260580063
10	20	20	13	6364.672820806503
10	20	20	12	5281.536519527435
10	20	20	14	6281.223781824112
10	20	20	5	6299.417124271393
25	14	14	6	1320.0796883106232
10	20	20	9	1415.325977563858
10	20	20	7	505.05091547966003
10	20	20	7	506.71234035491943
-5	11	11	8	3065.0460131168365
-5	15	15	11	5072.814961194992
10	20	20	10	6938.688488960266
10	20	20	7	6309.568428993225
10	20	20	6	6539.416742563248
10	20	20	7	6329.442544460297
35	20	20	16	7231.362793445587
-10	8	8	7	4098.413781642914
10	20	20	9	6002.012055158615
10	20	20	5	509.329256772995
-5	10	10	8	2113.0779600143433
10	20	20	9	6850.657518625259
-10	7	7	7	2091.1115930080414
10	20	20	11	6347.32302236557
10	20	20	13	6134.788742780685
10	20	20	7	1453.4214038848877
10	20	20	10	506.1075849533081
10	20	20	6	505.6304380893707
10	20	20	10	504.3606448173523
