Score	num moves	valid moves	location change	time taken
39	20	20	7	1546.2686219215393
0	5	5	4	382.08779096603394
39	20	20	10	1537.394439458847
39	20	20	13	1539.732616186142
25	18	18	8	1383.89804148674
39	20	20	8	1538.3564076423645
0	5	5	4	384.95954632759094
10	20	20	6	1536.0721225738525
15	20	20	14	1532.0306301116943
39	20	20	8	1533.2844727039337
25	16	16	6	1023.550021648407
0	6	6	4	382.5987780094147
39	20	20	8	1282.3906943798065
15	20	20	12	1282.078139781952
0	7	7	4	448.7621214389801
0	7	7	4	447.59397530555725
40	20	20	9	1289.145119190216
25	19	19	6	1219.0049133300781
35	20	20	7	1283.6395621299744
39	20	20	8	1286.1627156734467
40	20	20	13	1286.3682062625885
0	8	8	5	512.2301354408264
39	20	20	8	1303.2583599090576
39	20	20	9	1303.065090894699
25	16	16	6	1040.3815112113953
25	19	19	8	1237.4090931415558
25	17	17	6	1107.3097279071808
39	20	20	8	1302.8028252124786
39	20	20	8	1301.8304936885834
25	20	20	8	1307.8987510204315
0	5	5	4	326.11559081077576
0	8	8	5	523.1242742538452
50	20	19	11	1307.841347694397
39	20	20	8	1306.3915286064148
39	20	20	9	1301.9782693386078
39	20	20	11	1308.4368500709534
39	20	20	10	1303.929636001587
40	20	20	11	1308.286622285843
39	20	20	7	1305.7576978206635
35	20	20	7	1306.7533197402954
39	20	20	10	1301.5520045757294
0	5	5	4	324.60707926750183
39	20	20	7	1304.8235483169556
0	5	5	4	326.3126218318939
15	20	20	10	1302.7766075134277
25	14	14	6	912.9016313552856
